job_title,salary,salary_currency
Data Engineer,160000,USD
Data Engineer,130000,USD
Data Engineer,178000,USD
Data Engineer,165000,USD
Data Engineer,184000,USD
Data Engineer,123000,USD
Data Scientist,290000,USD
Data Scientist,173200,USD
Data Scientist,235000,USD
Data Scientist,204000,USD
Data Engineer,184000,USD
Data Engineer,123000,USD
Data Engineer,184000,USD
Data Engineer,123000,USD
Data Engineer,185000,USD
Data Engineer,81000,USD
Data Scientist,185000,USD
Data Scientist,123000,USD
Data Scientist,150000,USD
Data Scientist,130000,USD
Data Engineer,190000,USD
Data Engineer,170000,USD
Data Engineer,130000,USD
Data Engineer,101570,USD
Data Engineer,184000,USD
Data Engineer,123000,USD
Data Engineer,185000,USD
Data Engineer,50000,USD
Data Scientist,160000,USD
Data Scientist,130000,USD
Data Scientist,316000,USD
Data Scientist,202000,USD
Data Scientist,189750,USD
Data Scientist,119213,USD
Data Engineer,155000,USD
Data Engineer,125000,USD
Data Scientist,135000,USD
Data Scientist,114000,USD
Data Scientist,218213,USD
Data Scientist,178538,USD
Data Scientist,215625,USD
Data Scientist,159375,USD
Data Engineer,170000,USD
Data Engineer,100000,USD
Data Engineer,282000,USD
Data Engineer,208000,USD
Data Scientist,211000,USD
Data Scientist,185000,USD
Data Scientist,262000,USD
Data Scientist,245000,USD
Data Scientist,190000,USD
Data Scientist,150000,USD
Data Scientist,210000,USD
Data Scientist,180000,USD
Data Engineer,210000,USD
Data Engineer,155000,USD
Data Scientist,169500,USD
Data Scientist,138000,USD
Data Engineer,226700,USD
Data Engineer,133300,USD
Data Scientist,204500,USD
Data Scientist,138900,USD
Data Scientist,214872,USD
Data Scientist,186846,USD
Data Engineer,162000,USD
Data Engineer,111000,USD
Data Scientist,245000,USD
Data Scientist,185000,USD
Data Engineer,205000,USD
Data Engineer,167500,USD
Data Scientist,202600,USD
Data Scientist,168800,USD
Data Scientist,164000,USD
Data Scientist,130000,USD
Data Scientist,168000,USD
Data Scientist,130000,USD
Data Engineer,185900,USD
Data Engineer,129300,USD
Data Scientist,160000,USD
Data Scientist,140000,USD
Data Scientist,168000,USD
Data Scientist,130000,USD
Data Scientist,194500,USD
Data Scientist,110250,USD
Data Scientist,295000,USD
Data Scientist,177300,USD
Data Scientist,136000,USD
Data Scientist,104000,USD
Data Engineer,131000,USD
Data Engineer,130000,USD
Data Scientist,153600,USD
Data Scientist,106800,USD
Data Scientist,168000,USD
Data Scientist,130000,USD
Data Scientist,107400,USD
Data Scientist,101500,USD
Data Scientist,164000,USD
Data Scientist,130000,USD
Data Scientist,300000,USD
Data Scientist,211000,USD
Data Engineer,139810,USD
Data Engineer,95325,USD
Data Engineer,144000,USD
Data Engineer,96000,USD
Data Engineer,140000,USD
Data Engineer,125000,USD
Data Scientist,161000,USD
Data Scientist,116300,USD
Data Scientist,151300,USD
Data Scientist,126100,USD
Data Scientist,202600,USD
Data Scientist,168800,USD
Data Engineer,282000,USD
Data Engineer,208000,USD
Data Engineer,185000,USD
Data Engineer,124000,USD
Data Engineer,169000,USD
Data Engineer,91000,USD
Data Scientist,168000,USD
Data Scientist,130000,USD
Data Scientist,180000,USD
Data Scientist,160000,USD
Data Scientist,140000,USD
Data Scientist,140000,USD
Data Scientist,215000,USD
Data Scientist,160000,USD
Data Engineer,145000,USD
Data Engineer,115000,USD
Data Scientist,202000,USD
Data Scientist,140000,USD
Data Engineer,206000,USD
Data Engineer,175100,USD
Data Scientist,190000,USD
Data Scientist,160000,USD
Data Scientist,136000,USD
Data Scientist,104000,USD
Data Engineer,170000,USD
Data Engineer,100000,USD
Data Engineer,385000,USD
Data Engineer,245000,USD
Data Engineer,255000,USD
Data Engineer,255000,USD
Data Engineer,202500,USD
Data Engineer,177500,USD
Data Scientist,308000,USD
Data Scientist,144000,USD
Data Engineer,130000,USD
Data Engineer,101570,USD
Data Engineer,300000,USD
Data Engineer,150000,USD
Data Scientist,240000,USD
Data Scientist,180000,USD
Data Scientist,210000,USD
Data Scientist,165000,USD
Data Scientist,212800,USD
Data Scientist,111600,USD
Data Engineer,213600,USD
Data Engineer,103200,USD
Data Scientist,204000,USD
Data Scientist,127500,USD
Data Engineer,385000,USD
Data Engineer,310000,USD
Data Engineer,247300,USD
Data Engineer,139700,USD
Data Scientist,240000,USD
Data Scientist,180000,USD
Data Engineer,130000,USD
Data Engineer,101570,USD
Data Scientist,210000,USD
Data Scientist,165000,USD
Data Engineer,128000,USD
Data Engineer,81500,USD
Data Scientist,185900,USD
Data Scientist,129300,USD
Data Engineer,188600,USD
Data Engineer,111550,USD
Data Engineer,247300,USD
Data Engineer,139700,USD
Data Engineer,225000,USD
Data Engineer,175000,USD
Data Scientist,245000,USD
Data Scientist,185000,USD
Data Scientist,178600,USD
Data Scientist,88600,USD
Data Scientist,207345,USD
Data Scientist,180300,USD
Data Scientist,228045,USD
Data Scientist,198300,USD
Data Engineer,150000,USD
Data Engineer,140000,USD
Data Engineer,135000,USD
Data Engineer,90000,USD
Data Scientist,185000,USD
Data Scientist,123000,USD
Data Engineer,154000,USD
Data Engineer,103000,USD
Data Engineer,170000,USD
Data Engineer,100000,USD
Data Scientist,296100,USD
Data Scientist,144500,USD
Data Engineer,210000,USD
Data Engineer,165000,USD
Data Engineer,250000,USD
Data Engineer,190000,USD
Data Scientist,155000,USD
Data Scientist,139000,USD
Data Engineer,128000,USD
Data Engineer,81500,USD
Data Engineer,143000,USD
Data Engineer,95000,USD
Data Engineer,269100,USD
Data Engineer,131300,USD
Data Scientist,212800,USD
Data Scientist,111600,USD
Data Scientist,191765,USD
Data Scientist,134236,USD
Data Scientist,198800,USD
Data Scientist,90700,USD
Data Scientist,179000,USD
Data Scientist,109000,USD
Data Scientist,180000,USD
Data Scientist,140000,USD
Data Scientist,233300,USD
Data Scientist,155500,USD
Data Scientist,212800,USD
Data Scientist,111600,USD
Data Scientist,165000,USD
Data Scientist,116300,USD
Data Scientist,324000,USD
Data Scientist,159000,USD
Data Engineer,223250,USD
Data Engineer,156275,USD
Data Engineer,220000,USD
Data Engineer,160000,USD
Data Scientist,168000,USD
Data Scientist,130000,USD
Data Scientist,164000,USD
Data Scientist,130000,USD
Data Engineer,155000,USD
Data Engineer,130000,USD
Data Scientist,220000,USD
Data Scientist,160000,USD
Data Scientist,225000,USD
Data Scientist,156400,USD
Data Scientist,297300,USD
Data Scientist,198200,USD
Data Scientist,253430,USD
Data Scientist,212780,USD
Data Engineer,193000,USD
Data Engineer,134000,USD
Data Engineer,254000,USD
Data Engineer,200000,USD
Data Scientist,272290,USD
Data Scientist,169374,USD
Data Engineer,181500,USD
Data Engineer,112200,USD
Data Scientist,180000,USD
Data Scientist,162000,USD
Data Scientist,223290,USD
Data Scientist,131310,USD
Data Engineer,128750,USD
Data Engineer,86250,USD
Data Engineer,90000,USD
Data Engineer,75000,USD
Data Scientist,260000,USD
Data Scientist,160000,USD
Data Engineer,204750,USD
Data Engineer,153550,USD
Data Engineer,200000,USD
Data Engineer,141000,USD
Data Engineer,230000,USD
